#  ID	"RA	"	DEC	MAG_F160W	MAGERR_F160W	FWHM	STELLARITY	ELLIPTICITY	THETA	Z_BPZ	ZMIN_BPZ	ZMAX_BPZ	ODDS_BPZ	CHISQ2_BPZ	STAR	WEIGHT	NRS_F110W	NRS_F140X	NRS_CLEAR	REFERENCE
6154	53.12606407	-27.79418008	27.824	0.329	13.34	0.02	0.404	43.7	3.313	3.1	3.52	0.988	0.506	0	12	27.782	-99	27.824	TRUE
10399	53.17904617	-27.78571154	27.128	0.035	6.32	0.02	0.394	76.3	3.313	3.1	3.52	0.988	0.403	0	12	27.442	27.348	27.128	TRUE
6147	53.18078829	-27.79421143	25.27	0.063	28.2	0	0.278	-59.4	3.313	3.1	3.51	0.991	0.116	0	12	25.873	-99	25.27	TRUE
6714	53.18790758	-27.78484631	27.759	0.283	16.7	0	0.419	-48	3.313	3.09	3.52	0.986	2.147	0	12	27.924	-99	27.759	TRUE
2851	53.14793677	-27.80219816	28.644	0.529	3.24	0.92	0.095	42.2	3.31	2.48	3.66	0.627	1.407	0	12	99	-99	28.644	TRUE
3756	53.19282129	-27.79767017	99	28.982	3.73	0.88	0.2	-78.3	3.31	0.27	3.9	0.374	0.714	0	12	99	-99	99	TRUE
24535	53.17002073	-27.76941107	29.083	0.145	3.51	0.88	0.206	75.6	3.31	0.3	3.61	0.843	0.729	0	12	29.309	29.328	29.083	TRUE
21962	53.15912663	-27.79606286	29.38	0.176	3.24	0.85	0.083	-67.2	3.31	2.88	3.63	0.847	0.671	0	12	29.49	29.202	29.38	TRUE
850	53.1543485	-27.81690682	99	29.391	5.82	0.55	0.085	-2.8	3.31	2.89	3.59	0.869	2.221	0	12	29.424	-99	99	TRUE
6009	53.19132602	-27.79339581	99	29.108	6.01	0.53	0.226	-15.1	3.31	0.49	3.72	0.49	0.227	0	12	99	-99	99	TRUE
3545	53.16071259	-27.79859119	99	30.832	4.91	0.35	0.299	-25.2	3.31	0.38	3.71	0.613	2.144	0	12	30.477	99	99	TRUE
5925	53.19107341	-27.79288175	99	29.264	7.23	0.34	0.175	88.5	3.31	2.75	3.58	0.824	4.048	0	12	28.733	-99	99	TRUE
2698	53.16958534	-27.80294529	28.786	0.475	4.8	0.31	0.067	-20	3.31	2.9	3.58	0.875	3.808	0	12	29.613	-99	28.786	TRUE
700	53.17107232	-27.81831247	29.059	0.506	4.41	0.1	0.106	39.8	3.31	2.92	3.57	0.904	1.014	0	12	29.628	-99	29.059	TRUE
676	53.16777793	-27.81854093	99	29.557	4.75	0.08	0.118	83.2	3.31	2.85	3.6	0.844	1.646	0	12	29.839	-99	99	TRUE
1121	53.16185986	-27.81414496	99	29.096	7.6	0.04	0.33	35.3	3.31	0.3	3.92	0.394	0.686	0	12	99	-99	99	TRUE
20668	53.15822896	-27.81146553	25.998	0.071	6.3	0.03	0.26	-75.9	3.31	3	3.52	0.946	2.922	0	12	26.374	-99	25.998	TRUE
413	53.15877133	-27.82180769	27.149	0.206	9.88	0.02	0.17	22.6	3.31	3.06	3.52	0.973	2.839	0	12	27.377	-99	27.149	TRUE
572	53.17544758	-27.81957293	26.878	0.164	12.94	0.02	0.364	-70.9	3.31	3.05	3.63	0.923	0.447	0	12	27.12	-99	26.878	TRUE
346	53.15780884	-27.82272968	28.174	0.339	4.73	0.01	0.09	74.9	3.31	2.69	3.54	0.765	1.141	0	12	28.645	-99	28.174	TRUE
913	53.15631357	-27.81625928	27.531	0.237	7.34	0.01	0.209	-81.7	3.31	3.01	3.63	0.909	0.272	0	12	28.3	-99	27.531	TRUE
5368	53.12401707	-27.79082261	99	28.579	10.97	0	0.243	-88.9	3.31	0.24	3.76	0.439	0.928	0	12	99	-99	99	TRUE
6018	53.12043103	-27.79365631	28.984	0.651	5.87	0	0.261	22.3	3.31	2.66	3.62	0.741	0.761	0	12	99	-99	28.984	TRUE
10088	53.15900725	-27.78148091	28.458	0.127	18.11	0	0.557	85.4	3.309	3	3.59	0.921	0.879	0	12	28.601	28.362	28.458	TRUE
563	53.17559327	-27.81950507	25.962	0.081	9.18	0.03	0.402	-82.5	3.308	3.1	3.51	0.989	0.556	0	12	26.287	-99	25.962	TRUE
5199	53.1670692	-27.79018751	26.578	0.023	9.77	0.02	0.267	-84.9	3.305	3.09	3.51	0.988	0.194	0	12	27.234	26.897	26.578	TRUE
23263	53.18248489	-27.79407488	27.681	0.221	4.83	0.03	0.127	73.4	3.301	3.1	3.49	0.991	2.017	0	12	27.771	-99	27.681	TRUE
8716	53.16232887	-27.76900778	29.297	0.244	5.5	0.37	0.113	-37.9	3.3	0.22	3.69	0.597	1.407	0	12	29.284	28.828	29.297	TRUE
1380	53.17400357	-27.81153323	99	29.5	4.7	0.3	0.211	35.8	3.3	1.81	3.67	0.578	0.532	0	12	99	-99	99	TRUE
20321	53.16541488	-27.81845484	28.705	0.633	3.68	0.3	0.174	89.2	3.3	2.83	3.54	0.895	1.108	0	12	29.034	-99	28.705	TRUE
6024	53.13452171	-27.79366972	99	29.419	4.84	0.29	0.099	-13.5	3.3	0.3	3.63	0.437	1.355	0	12	29.46	-99	99	TRUE
